"","probesDrop"
"9711","cg07129769"
"9712","cg07130392"
"9713","cg07131093"
"9714","cg07131398"
"9715","cg07133434"
"9716","cg07134368"
"9717","cg07135405"
"9718","cg07136554"
"9719","cg07136759"
"9720","cg07136920"
"9721","cg07138101"
"9722","cg07138192"
"9723","cg07139301"
"9724","cg07140767"
"9725","cg07141237"
"9726","cg07142319"
"9727","cg07142555"
"9728","cg07142833"
"9729","cg07143384"
"9730","cg07143470"
"9731","cg07143623"
"9732","cg07144255"
"9733","cg07144715"
"9734","cg07146383"
"9735","cg07147204"
"9736","cg07147709"
"9737","cg07147863"
"9738","cg07148145"
"9739","cg07148535"
"9740","cg07148697"
"9741","cg07148896"
"9742","cg07149454"
"9743","cg07149469"
"9744","cg07150404"
"9745","cg07150830"
"9746","cg07151155"
"9747","cg07152837"
"9748","cg07152869"
"9749","cg07153010"
"9750","cg07155381"
"9751","cg07156138"
"9752","cg07156742"
"9753","cg07156839"
"9754","cg07157058"
"9755","cg07157117"
"9756","cg07159094"
"9757","cg07159673"
"9758","cg07159871"
"9759","cg07159875"
"9760","cg07160001"
"9761","cg07160353"
"9762","cg07162665"
"9763","cg07162801"
"9764","cg07163603"
"9765","cg07163745"
"9766","cg07164047"
"9767","cg07164161"
"9768","cg07164820"
"9769","cg07165115"
"9770","cg07165851"
"9771","cg07166084"
"9772","cg07166550"
"9773","cg07166784"
"9774","cg07169233"
"9775","cg07170252"
"9776","cg07170932"
"9777","cg07171496"
"9778","cg07171864"
"9779","cg07172334"
"9780","cg07172565"
"9781","cg07172701"
"9782","cg07172707"
"9783","cg07173274"
"9784","cg07173649"
"9785","cg07174182"
"9786","cg07174453"
"9787","cg07177123"
"9788","cg07179016"
"9789","cg07179195"
"9790","cg07179220"
"9791","cg07179816"
"9792","cg07180219"
"9793","cg07180538"
"9794","cg07181328"
"9795","cg07181843"
"9796","cg07182616"
"9797","cg07183218"
"9798","cg07183970"
"9799","cg07184578"
"9800","cg07186939"
"9801","cg07187202"
"9802","cg07187521"
"9803","cg07188896"
"9804","cg07189381"
"9805","cg07189582"
"9806","cg07190921"
"9807","cg07193998"
"9808","cg07194798"
"9809","cg07195539"
"9810","cg07195914"
"9811","cg07196035"
"9812","cg07196505"
"9813","cg07196514"
"9814","cg07197493"
"9815","cg07199834"
"9816","cg07200421"
"9817","cg07200877"
"9818","cg07200957"
"9819","cg07201929"
"9820","cg07202320"
"9821","cg07202413"
"9822","cg07202479"
"9823","cg07203362"
"9824","cg07203767"
"9825","cg07204280"
"9826","cg07205589"
"9827","cg07206001"
"9828","cg07207070"
"9829","cg07207813"
"9830","cg07207959"
"9831","cg07208425"
"9832","cg07208853"
"9833","cg07210839"
"9834","cg07211516"
"9835","cg07211684"
"9836","cg07212416"
"9837","cg07212563"
"9838","cg07213029"
"9839","cg07213698"
"9840","cg07214724"
"9841","cg07215199"
"9842","cg07215504"
"9843","cg07215571"
"9844","cg07215822"
"9845","cg07215947"
"9846","cg07216036"
"9847","cg07216436"
"9848","cg07216619"
"9849","cg07217293"
"9850","cg07217653"
"9851","cg07217710"
"9852","cg07219766"
"9853","cg07219769"
"9854","cg07220585"
"9855","cg07222863"
"9856","cg07223206"
"9857","cg07223984"
"9858","cg07224469"
"9859","cg07224726"
"9860","cg07225507"
"9861","cg07225509"
"9862","cg07226802"
"9863","cg07227024"
"9864","cg07227187"
"9865","cg07228702"
"9866","cg07230905"
"9867","cg07231451"
"9868","cg07232435"
"9869","cg07232577"
"9870","cg07233127"
"9871","cg07233700"
"9872","cg07235652"
"9873","cg07236001"
"9874","cg07236925"
"9875","cg07237651"
"9876","cg07237769"
"9877","cg07239629"
"9878","cg07240043"
"9879","cg07240721"
"9880","cg07240846"
"9881","cg07242196"
"9882","cg07242267"
"9883","cg07242540"
"9884","cg07243041"
"9885","cg07243161"
"9886","cg07244326"
"9887","cg07244980"
"9888","cg07246946"
"9889","cg07249343"
"9890","cg07249488"
"9891","cg07249765"
"9892","cg07249785"
"9893","cg07251788"
"9894","cg07252171"
"9895","cg07252575"
"9896","cg07252846"
"9897","cg07255158"
"9898","cg07255222"
"9899","cg07256113"
"9900","cg07256376"
"9901","cg07257122"
"9902","cg07258009"
"9903","cg07258408"
"9904","cg07258715"
"9905","cg07258847"
"9906","cg07258983"
"9907","cg07260605"
"9908","cg07261734"
"9909","cg07261940"
"9910","cg07262320"
"9911","cg07264401"
"9912","cg07264617"
"9913","cg07265716"
"9914","cg07265806"
"9915","cg07266032"
"9916","cg07266299"
"9917","cg07267674"
"9918","cg07268337"
"9919","cg07269557"
"9920","cg07269819"
"9921","cg07270289"
"9922","cg07271264"
"9923","cg07271471"
"9924","cg07271718"
"9925","cg07272305"
"9926","cg07272353"
"9927","cg07272677"
"9928","cg07272929"
"9929","cg07273051"
"9930","cg07274523"
"9931","cg07274694"
"9932","cg07275305"
"9933","cg07276550"
"9934","cg07277465"
"9935","cg07277756"
"9936","cg07279752"
"9937","cg07280936"
"9938","cg07280985"
"9939","cg07281125"
"9940","cg07281281"
"9941","cg07281370"
"9942","cg07283738"
"9943","cg07283849"
"9944","cg07284190"
"9945","cg07284507"
"9946","cg07285481"
"9947","cg07285621"
"9948","cg07287078"
"9949","cg07287401"
"9950","cg07288049"
"9951","cg07290249"
"9952","cg07292235"
"9953","cg07293387"
"9954","cg07294114"
"9955","cg07295197"
"9956","cg07295974"
"9957","cg07296995"
"9958","cg07297896"
"9959","cg07299645"
"9960","cg07301105"
"9961","cg07301180"
"9962","cg07303744"
"9963","cg07304315"
"9964","cg07304760"
"9965","cg07304923"
"9966","cg07308232"
"9967","cg07309274"
"9968","cg07309764"
"9969","cg07310406"
"9970","cg07310588"
"9971","cg07312579"
"9972","cg07313705"
"9973","cg07313956"
"9974","cg07314298"
"9975","cg07314409"
"9976","cg07314603"
"9977","cg07314952"
"9978","cg07315051"
"9979","cg07316730"
"9980","cg07317602"
"9981","cg07317641"
"9982","cg07318128"
"9983","cg07318145"
"9984","cg07318158"
"9985","cg07318335"
"9986","cg07318636"
"9987","cg07319199"
"9988","cg07319528"
"9989","cg07320895"
"9990","cg07321171"
"9991","cg07322898"
"9992","cg07324293"
"9993","cg07324496"
"9994","cg07324752"
"9995","cg07325539"
"9996","cg07325893"
"9997","cg07326387"
"9998","cg07327335"
"9999","cg07327927"
"10000","cg07329648"
"10001","cg07331204"
"10002","cg07331725"
"10003","cg07332234"
"10004","cg07332943"
"10005","cg07333872"
"10006","cg07339783"
"10007","cg07340145"
"10008","cg07340473"
"10009","cg07341788"
"10010","cg07341813"
"10011","cg07342573"
"10012","cg07343174"
"10013","cg07343612"
"10014","cg07343703"
"10015","cg07345205"
"10016","cg07346700"
"10017","cg07349212"
"10018","cg07349464"
"10019","cg07351059"
"10020","cg07352425"
"10021","cg07354861"
"10022","cg07356114"
"10023","cg07356753"
"10024","cg07356876"
"10025","cg07357314"
"10026","cg07357398"
"10027","cg07358392"
"10028","cg07359806"
"10029","cg07362130"
"10030","cg07363676"
"10031","cg07364018"
"10032","cg07364657"
"10033","cg07365168"
"10034","cg07365741"
"10035","cg07365816"
"10036","cg07366660"
"10037","cg07367760"
"10038","cg07368042"
"10039","cg07368937"
"10040","cg07369606"
"10041","cg07370894"
"10042","cg07371337"
"10043","cg07374109"
"10044","cg07374414"
"10045","cg07374509"
"10046","cg07374899"
"10047","cg07375130"
"10048","cg07375964"
"10049","cg07376033"
"10050","cg07376282"
"10051","cg07376932"
"10052","cg07377740"
"10053","cg07377994"
"10054","cg07378217"
"10055","cg07378350"
"10056","cg07379000"
"10057","cg07379204"
"10058","cg07380282"
"10059","cg07381973"
"10060","cg07382752"
"10061","cg07384136"
"10062","cg07384522"
"10063","cg07385038"
"10064","cg07385926"
"10065","cg07386008"
"10066","cg07387044"
"10067","cg07387429"
"10068","cg07387931"
"10069","cg07389463"
"10070","cg07389699"
"10071","cg07391089"
"10072","cg07392449"
"10073","cg07393352"
"10074","cg07393816"
"10075","cg07394201"
"10076","cg07394400"
"10077","cg07395439"
"10078","cg07395648"
"10079","cg07396092"
"10080","cg07396272"
"10081","cg07397956"
"10082","cg07398952"
"10083","cg07399417"
"10084","cg07399636"
"10085","cg07401045"
"10086","cg07401258"
"10087","cg07403865"
"10088","cg07404221"
"10089","cg07404352"
"10090","cg07404466"
"10091","cg07409418"
"10092","cg07412186"
"10093","cg07412232"
"10094","cg07412281"
"10095","cg07412317"
"10096","cg07413147"
"10097","cg07413656"
"10098","cg07414487"
"10099","cg07415085"
"10100","cg07415947"
"10101","cg07416344"
"10102","cg07417020"
"10103","cg07417218"
"10104","cg07417348"
"10105","cg07418087"
"10106","cg07419144"
"10107","cg07419191"
"10108","cg07420960"
"10109","cg07421169"
"10110","cg07422412"
"10111","cg07422735"
"10112","cg07423050"
"10113","cg07424342"
"10114","cg07424592"
"10115","cg07425170"
"10116","cg07425568"
"10117","cg07425625"
"10118","cg07427559"
"10119","cg07427577"
"10120","cg07428089"
"10121","cg07428101"
"10122","cg07428491"
"10123","cg07429284"
"10124","cg07429743"
"10125","cg07431286"
"10126","cg07431429"
"10127","cg07432438"
"10128","cg07434271"
"10129","cg07434438"
"10130","cg07435269"
"10131","cg07435449"
"10132","cg07436074"
"10133","cg07436141"
"10134","cg07436424"
"10135","cg07437056"
"10136","cg07437923"
"10137","cg07438412"
"10138","cg07438452"
"10139","cg07442476"
"10140","cg07442568"
"10141","cg07445258"
"10142","cg07448499"
"10143","cg07449652"
"10144","cg07450214"
"10145","cg07450671"
"10146","cg07451084"
"10147","cg07451762"
"10148","cg07452659"
"10149","cg07452997"
"10150","cg07453911"
"10151","cg07454640"
"10152","cg07455406"
"10153","cg07455422"
"10154","cg07456376"
"10155","cg07456503"
"10156","cg07456585"
"10157","cg07456878"
"10158","cg07458500"
"10159","cg07460804"
"10160","cg07460842"
"10161","cg07461160"
"10162","cg07461501"
"10163","cg07461582"
"10164","cg07465031"
"10165","cg07465754"
"10166","cg07466193"
"10167","cg07466585"
"10168","cg07467562"
"10169","cg07467618"
"10170","cg07467958"
"10171","cg07469647"
"10172","cg07470001"
"10173","cg07470512"
"10174","cg07471190"
"10175","cg07471572"
"10176","cg07474670"
"10177","cg07474910"
"10178","cg07476472"
"10179","cg07477602"
"10180","cg07478007"
"10181","cg07478240"
"10182","cg07478795"
"10183","cg07479615"
"10184","cg07479750"
"10185","cg07480090"
"10186","cg07480176"
"10187","cg07480440"
"10188","cg07480608"
"10189","cg07480955"
"10190","cg07482223"
"10191","cg07482451"
"10192","cg07483119"
"10193","cg07483408"
"10194","cg07484255"
"10195","cg07484567"
"10196","cg07484727"
"10197","cg07485423"
"10198","cg07486230"
"10199","cg07486862"
"10200","cg07488684"
"10201","cg07489121"
"10202","cg07489553"
"10203","cg07489607"
"10204","cg07491357"
"10205","cg07491375"
"10206","cg07493044"
"10207","cg07493562"
"10208","cg07494356"
"10209","cg07495405"
"10210","cg07497218"
"10211","cg07497264"
"10212","cg07497663"
"10213","cg07497907"
"10214","cg07498013"
"10215","cg07498088"
"10216","cg07498168"
"10217","cg07499201"
"10218","cg07500806"
"10219","cg07500957"
"10220","cg07501029"
"10221","cg07502454"
"10222","cg07503658"
"10223","cg07504393"
"10224","cg07504598"
"10225","cg07504718"
"10226","cg07504727"
"10227","cg07505391"
"10228","cg07505433"
"10229","cg07505457"
"10230","cg07505478"
"10231","cg07505680"
"10232","cg07506153"
"10233","cg07506458"
"10234","cg07506560"
"10235","cg07507446"
"10236","cg07507755"
"10237","cg07508341"
"10238","cg07508773"
"10239","cg07509323"
"10240","cg07509420"
"10241","cg07510885"
"10242","cg07511934"
"10243","cg07512295"
"10244","cg07512790"
"10245","cg07513323"
"10246","cg07513392"
"10247","cg07514343"
"10248","cg07514372"
"10249","cg07515787"
"10250","cg07515919"
"10251","cg07516196"
"10252","cg07516355"
"10253","cg07516956"
"10254","cg07517040"
"10255","cg07517487"
"10256","cg07517909"
"10257","cg07518035"
"10258","cg07518330"
"10259","cg07519259"
"10260","cg07520158"
"10261","cg07521394"
"10262","cg07522516"
"10263","cg07523098"
"10264","cg07523565"
"10265","cg07524214"
"10266","cg07524348"
"10267","cg07525313"
"10268","cg07526977"
"10269","cg07528254"
"10270","cg07528349"
"10271","cg07530241"
"10272","cg07530330"
"10273","cg07533159"
"10274","cg07533249"
"10275","cg07533488"
"10276","cg07535965"
"10277","cg07536914"
"10278","cg07537692"
"10279","cg07538204"
"10280","cg07538406"
"10281","cg07538838"
"10282","cg07539248"
"10283","cg07542871"
"10284","cg07543400"
"10285","cg07544837"
"10286","cg07545278"
"10287","cg07545587"
"10288","cg07546011"
"10289","cg07546446"
"10290","cg07547054"
"10291","cg07548383"
"10292","cg07548580"
"10293","cg07548982"
"10294","cg07549195"
"10295","cg07549681"
"10296","cg07550684"
"10297","cg07550819"
"10298","cg07552315"
"10299","cg07553213"
"10300","cg07553231"
"10301","cg07554622"
"10302","cg07555084"
"10303","cg07556151"
"10304","cg07556218"
"10305","cg07556403"
"10306","cg07556629"
"10307","cg07557024"
"10308","cg07558131"
"10309","cg07558209"
"10310","cg07559763"
"10311","cg07560517"
"10312","cg07560587"
"10313","cg07563939"
"10314","cg07564088"
"10315","cg07564171"
"10316","cg07564837"
"10317","cg07567273"
"10318","cg07567497"
"10319","cg07568117"
"10320","cg07568298"
"10321","cg07568307"
"10322","cg07568751"
"10323","cg07569179"
"10324","cg07569701"
"10325","cg07569702"
"10326","cg07570537"
"10327","cg07570618"
"10328","cg07572317"
"10329","cg07572435"
"10330","cg07572773"
"10331","cg07572984"
"10332","cg07575970"
"10333","cg07576186"
"10334","cg07576219"
"10335","cg07578070"
"10336","cg07578611"
"10337","cg07582382"
"10338","cg07584620"
"10339","cg07584860"
"10340","cg07584894"
"10341","cg07585136"
"10342","cg07585899"
"10343","cg07586760"
"10344","cg07586799"
"10345","cg07588018"
"10346","cg07588355"
"10347","cg07589192"
"10348","cg07589342"
"10349","cg07589531"
"10350","cg07589824"
"10351","cg07590002"
"10352","cg07590294"
"10353","cg07590632"
"10354","cg07591519"
"10355","cg07592216"
"10356","cg07592361"
"10357","cg07592388"
"10358","cg07592775"
"10359","cg07593662"
"10360","cg07594658"
"10361","cg07595035"
"10362","cg07596568"
"10363","cg07597269"
"10364","cg07597816"
"10365","cg07598052"
"10366","cg07598199"
"10367","cg07599579"
"10368","cg07600170"
"10369","cg07601488"
"10370","cg07601741"
"10371","cg07604025"
"10372","cg07604512"
"10373","cg07605148"
"10374","cg07606381"
"10375","cg07609381"
"10376","cg07611121"
"10377","cg07611718"
"10378","cg07611925"
"10379","cg07612889"
"10380","cg07612978"
"10381","cg07613459"
"10382","cg07613987"
"10383","cg07614783"
"10384","cg07615236"
"10385","cg07615347"
"10386","cg07615435"
"10387","cg07615802"
"10388","cg07617129"
"10389","cg07617237"
"10390","cg07618759"
"10391","cg07618928"
"10392","cg07619111"
"10393","cg07621660"
"10394","cg07621697"
"10395","cg07621853"
"10396","cg07622451"
"10397","cg07622521"
"10398","cg07623839"
"10399","cg07624224"
"10400","cg07624888"
"10401","cg07627119"
"10402","cg07628595"
"10403","cg07628771"
"10404","cg07629369"
"10405","cg07629391"
"10406","cg07629625"
"10407","cg07630345"
"10408","cg07630816"
"10409","cg07631575"
"10410","cg07633119"
"10411","cg07633664"
"10412","cg07634150"
"10413","cg07634927"
"10414","cg07635485"
"10415","cg07636037"
"10416","cg07637188"
"10417","cg07637599"
"10418","cg07638009"
"10419","cg07638368"
"10420","cg07638797"
"10421","cg07639198"
"10422","cg07639550"
"10423","cg07641563"
"10424","cg07641567"
"10425","cg07641578"
"10426","cg07642767"
"10427","cg07643000"
"10428","cg07643074"
"10429","cg07644681"
"10430","cg07646083"
"10431","cg07647108"
"10432","cg07648498"
"10433","cg07648740"
"10434","cg07649562"
"10435","cg07650681"
"10436","cg07650890"
"10437","cg07651080"
"10438","cg07651832"
"10439","cg07655261"
"10440","cg07658702"
"10441","cg07659934"
"10442","cg07660645"
"10443","cg07661805"
"10444","cg07663732"
"10445","cg07664579"
"10446","cg07664909"
"10447","cg07665217"
"10448","cg07665650"
"10449","cg07666195"
"10450","cg07666312"
"10451","cg07667469"
"10452","cg07670566"
"10453","cg07671477"
"10454","cg07672509"
"10455","cg07672631"
"10456","cg07673182"
"10457","cg07673935"
"10458","cg07674277"
"10459","cg07676669"
"10460","cg07677446"
"10461","cg07678010"
"10462","cg07678644"
"10463","cg07678967"
"10464","cg07679038"
"10465","cg07680047"
"10466","cg07680167"
"10467","cg07680277"
"10468","cg07681156"
"10469","cg07681561"
"10470","cg07682009"
"10471","cg07682659"
"10472","cg07684128"
"10473","cg07684215"
"10474","cg07684647"
"10475","cg07685601"
"10476","cg07686394"
"10477","cg07686628"
"10478","cg07687820"
"10479","cg07689001"
"10480","cg07690219"
"10481","cg07691484"
"10482","cg07693238"
"10483","cg07693523"
"10484","cg07694806"
"10485","cg07695447"
"10486","cg07696178"
"10487","cg07696464"
"10488","cg07697078"
"10489","cg07697177"
"10490","cg07697201"
"10491","cg07698793"
"10492","cg07698804"
"10493","cg07699608"
"10494","cg07699767"
"10495","cg07699771"
"10496","cg07700847"
"10497","cg07701530"
"10498","cg07701610"
"10499","cg07701837"
"10500","cg07702693"
"10501","cg07703391"
"10502","cg07703462"
"10503","cg07704151"
"10504","cg07704181"
"10505","cg07706540"
"10506","cg07707479"
"10507","cg07708788"
"10508","cg07709205"
"10509","cg07709475"
"10510","cg07709980"
"10511","cg07710020"
"10512","cg07710266"
"10513","cg07710391"
"10514","cg07711085"
"10515","cg07711566"
"10516","cg07712165"
"10517","cg07712598"
"10518","cg07713242"
"10519","cg07713293"
"10520","cg07714085"
"10521","cg07715777"
"10522","cg07716280"
"10523","cg07716390"
"10524","cg07717198"
"10525","cg07718321"
"10526","cg07718631"
"10527","cg07719492"
"10528","cg07719621"
"10529","cg07719695"
"10530","cg07720789"
"10531","cg07720926"
"10532","cg07721440"
"10533","cg07722220"
"10534","cg07722657"
"10535","cg07722722"
"10536","cg07723069"
"10537","cg07723948"
"10538","cg07724896"
"10539","cg07725355"
"10540","cg07725579"
"10541","cg07725685"
"10542","cg07725849"
"10543","cg07726048"
"10544","cg07726156"
"10545","cg07726287"
"10546","cg07726808"
"10547","cg07726975"
"10548","cg07728215"
"10549","cg07728250"
"10550","cg07728307"
"10551","cg07729130"
"10552","cg07729230"
"10553","cg07731336"
"10554","cg07732331"
"10555","cg07733441"
"10556","cg07736012"
"10557","cg07736123"
"10558","cg07740095"
"10559","cg07740199"
"10560","cg07740306"
"10561","cg07741840"
"10562","cg07742492"
"10563","cg07743548"
"10564","cg07743919"
"10565","cg07744547"
"10566","cg07746427"
"10567","cg07747177"
"10568","cg07747875"
"10569","cg07747923"
"10570","cg07748193"
"10571","cg07748719"
"10572","cg07749055"
"10573","cg07749442"
"10574","cg07753510"
"10575","cg07753644"
"10576","cg07754644"
"10577","cg07757545"
"10578","cg07758902"
"10579","cg07759478"
"10580","cg07759587"
"10581","cg07760544"
"10582","cg07760800"
"10583","cg07761781"
"10584","cg07762003"
"10585","cg07762099"
"10586","cg07762402"
"10587","cg07764059"
"10588","cg07765769"
"10589","cg07766948"
"10590","cg07768763"
"10591","cg07770857"
"10592","cg07774293"
"10593","cg07774765"
"10594","cg07777270"
"10595","cg07777433"
"10596","cg07778029"
"10597","cg07780777"
"10598","cg07781040"
"10599","cg07781988"
"10600","cg07784042"
"10601","cg07784054"
"10602","cg07785726"
"10603","cg07786301"
"10604","cg07786657"
"10605","cg07786842"
"10606","cg07788140"
"10607","cg07789083"
"10608","cg07790727"
"10609","cg07791065"
"10610","cg07791516"
"10611","cg07791866"
"10612","cg07792446"
"10613","cg07792871"
"10614","cg07793724"
"10615","cg07793789"
"10616","cg07794010"
"10617","cg07795081"
"10618","cg07795916"
"10619","cg07795949"
"10620","cg07796002"
"10621","cg07796016"
"10622","cg07796683"
"10623","cg07797438"
"10624","cg07800034"
"10625","cg07800254"
"10626","cg07800665"
"10627","cg07800907"
"10628","cg07801448"
"10629","cg07802949"
"10630","cg07803811"
"10631","cg07803860"
"10632","cg07803864"
"10633","cg07804076"
"10634","cg07804408"
"10635","cg07804963"
"10636","cg07805383"
"10637","cg07805542"
"10638","cg07805603"
"10639","cg07806552"
"10640","cg07807111"
"10641","cg07807373"
"10642","cg07809182"
"10643","cg07811112"
"10644","cg07811644"
"10645","cg07811887"
"10646","cg07811903"
"10647","cg07812380"
"10648","cg07812887"
"10649","cg07813031"
"10650","cg07813065"
"10651","cg07813445"
"10652","cg07814359"
"10653","cg07814712"
"10654","cg07814731"
"10655","cg07817739"
"10656","cg07820702"
"10657","cg07820786"
"10658","cg07820996"
"10659","cg07821328"
"10660","cg07821417"
"10661","cg07823670"
"10662","cg07824422"
"10663","cg07824564"
"10664","cg07824800"
"10665","cg07824824"
"10666","cg07825270"
"10667","cg07825433"
"10668","cg07826431"
"10669","cg07828024"
"10670","cg07828340"
"10671","cg07829209"
"10672","cg07829265"
"10673","cg07829377"
"10674","cg07829379"
"10675","cg07830750"
"10676","cg07830906"
"10677","cg07831886"
"10678","cg07832337"
"10679","cg07833472"
"10680","cg07833779"
"10681","cg07834249"
"10682","cg07835236"
"10683","cg07835953"
"10684","cg07836592"
"10685","cg07838427"
"10686","cg07841353"
"10687","cg07843065"
"10688","cg07843390"
"10689","cg07844021"
"10690","cg07844442"
"10691","cg07844694"
"10692","cg07845411"
"10693","cg07846855"
"10694","cg07846874"
"10695","cg07847273"
"10696","cg07847925"
"10697","cg07848485"
"10698","cg07848728"
"10699","cg07849177"
"10700","cg07850323"
"10701","cg07850447"
"10702","cg07850982"
"10703","cg07851262"
"10704","cg07852945"
"10705","cg07855322"
"10706","cg07856521"
"10707","cg07856741"
"10708","cg07857251"
"10709","cg07857444"
"10710","cg07858728"
"10711","cg07859360"
"10712","cg07859880"
"10713","cg07860140"
"10714","cg07862535"
"10715","cg07863524"
"10716","cg07863831"
"10717","cg07867325"
"10718","cg07867367"
"10719","cg07868885"
"10720","cg07868909"
"10721","cg07870920"
"10722","cg07871357"
"10723","cg07872947"
"10724","cg07873154"
"10725","cg07873172"
"10726","cg07874011"
"10727","cg07874646"
"10728","cg07875069"
"10729","cg07875328"
"10730","cg07876831"
"10731","cg07878625"
"10732","cg07879942"
"10733","cg07880045"
"10734","cg07881210"
"10735","cg07881470"
"10736","cg07882546"
"10737","cg07882838"
"10738","cg07883662"
"10739","cg07883836"
"10740","cg07884251"
"10741","cg07884270"
"10742","cg07886142"
"10743","cg07888040"
"10744","cg07889003"
"10745","cg07889790"
"10746","cg07890336"
"10747","cg07890827"
"10748","cg07890882"
"10749","cg07893544"
"10750","cg07895329"
"10751","cg07896092"
"10752","cg07896448"
"10753","cg07898303"
"10754","cg07898500"
"10755","cg07898501"
"10756","cg07898617"
"10757","cg07899060"
"10758","cg07899532"
"10759","cg07900998"
"10760","cg07901138"
"10761","cg07901199"
"10762","cg07901472"
"10763","cg07901479"
"10764","cg07902156"
"10765","cg07903316"
"10766","cg07903626"
"10767","cg07904028"
"10768","cg07904290"
"10769","cg07904448"
"10770","cg07905054"
"10771","cg07905119"
"10772","cg07905965"
"10773","cg07906263"
"10774","cg07906527"
"10775","cg07906564"
"10776","cg07906931"
"10777","cg07907493"
"10778","cg07908805"
"10779","cg07908946"
"10780","cg07909498"
"10781","cg07910499"
"10782","cg07912453"
"10783","cg07912922"
"10784","cg07915189"
"10785","cg07915271"
"10786","cg07915323"
"10787","cg07915896"
"10788","cg07916101"
"10789","cg07917031"
"10790","cg07917878"
"10791","cg07918080"
"10792","cg07918736"
"10793","cg07918799"
"10794","cg07919431"
"10795","cg07919936"
"10796","cg07920195"
"10797","cg07920855"
"10798","cg07921081"
"10799","cg07924387"
"10800","cg07925246"
"10801","cg07925582"
"10802","cg07925738"
"10803","cg07925824"
"10804","cg07928363"
"10805","cg07929082"
"10806","cg07930587"
"10807","cg07930752"
"10808","cg07931962"
"10809","cg07932290"
"10810","cg07934927"
"10811","cg07936489"
"10812","cg07937082"
"10813","cg07937776"
"10814","cg07937925"
"10815","cg07940428"
"10816","cg07940585"
"10817","cg07941628"
"10818","cg07942217"
"10819","cg07942622"
"10820","cg07943111"
"10821","cg07943688"
"10822","cg07943766"
"10823","cg07943927"
"10824","cg07944051"
"10825","cg07945618"
"10826","cg07946392"
"10827","cg07946961"
"10828","cg07947266"
"10829","cg07947320"
"10830","cg07947705"
"10831","cg07948432"
"10832","cg07948968"
"10833","cg07949103"
"10834","cg07949863"
"10835","cg07950011"
"10836","cg07950220"
"10837","cg07951417"
"10838","cg07951602"
"10839","cg07953310"
"10840","cg07954423"
"10841","cg07955315"
"10842","cg07956515"
"10843","cg07956642"
"10844","cg07958169"
"10845","cg07959403"
"10846","cg07959574"
"10847","cg07961278"
"10848","cg07961512"
"10849","cg07962162"
"10850","cg07962641"
"10851","cg07963316"
"10852","cg07964244"
"10853","cg07965041"
"10854","cg07966372"
"10855","cg07967091"
"10856","cg07967723"
"10857","cg07969419"
"10858","cg07969781"
"10859","cg07970146"
"10860","cg07970799"
"10861","cg07971129"
"10862","cg07971743"
"10863","cg07971827"
"10864","cg07972983"
"10865","cg07973125"
"10866","cg07973298"
"10867","cg07973591"
"10868","cg07974031"
"10869","cg07974303"
"10870","cg07974440"
"10871","cg07975778"
"10872","cg07976976"
"10873","cg07978494"
"10874","cg07978591"
"10875","cg07979385"
"10876","cg07979579"
"10877","cg07980027"
"10878","cg07980804"
"10879","cg07981266"
"10880","cg07981864"
"10881","cg07984212"
"10882","cg07985315"
"10883","cg07986257"
"10884","cg07986943"
"10885","cg07987250"
"10886","cg07988820"
"10887","cg07989373"
"10888","cg07989511"
"10889","cg07991229"
"10890","cg07991332"
"10891","cg07991529"
"10892","cg07992477"
"10893","cg07992633"
"10894","cg07995319"
"10895","cg07996278"
"10896","cg07996555"
"10897","cg07998236"
"10898","cg07998461"
"10899","cg07999015"
"10900","cg08000082"
"10901","cg08000102"
"10902","cg08001014"
"10903","cg08001952"
"10904","cg08002427"
"10905","cg08004278"
"10906","cg08004620"
"10907","cg08005093"
"10908","cg08005872"
"10909","cg08006182"
"10910","cg08006646"
"10911","cg08006956"
"10912","cg08007234"
"10913","cg08007339"
"10914","cg08008636"
"10915","cg08010037"
"10916","cg08010331"
"10917","cg08012156"
"10918","cg08012201"
"10919","cg08013890"
"10920","cg08013914"
"10921","cg08015388"
"10922","cg08015447"
"10923","cg08015503"
"10924","cg08016231"
"10925","cg08019151"
"10926","cg08019449"
"10927","cg08019564"
"10928","cg08020274"
"10929","cg08021564"
"10930","cg08022244"
"10931","cg08023458"
"10932","cg08023527"
"10933","cg08024264"
"10934","cg08024398"
"10935","cg08026039"
"10936","cg08028341"
"10937","cg08028452"
"10938","cg08029231"
"10939","cg08030633"
"10940","cg08031518"
"10941","cg08032197"
"10942","cg08033640"
"10943","cg08033921"
"10944","cg08034750"
"10945","cg08034797"
"10946","cg08035479"
"10947","cg08036399"
"10948","cg08037115"
"10949","cg08037327"
"10950","cg08038504"
"10951","cg08038957"
"10952","cg08039322"
"10953","cg08039587"
"10954","cg08040755"
"10955","cg08041279"
"10956","cg08041308"
"10957","cg08041448"
"10958","cg08043242"
"10959","cg08043592"
"10960","cg08044713"
"10961","cg08045063"
"10962","cg08045489"
"10963","cg08047252"
"10964","cg08047827"
"10965","cg08047948"
"10966","cg08048687"
"10967","cg08048831"
"10968","cg08049519"
"10969","cg08050656"
"10970","cg08053057"
"10971","cg08053103"
"10972","cg08053370"
"10973","cg08054032"
"10974","cg08055133"
"10975","cg08055365"
"10976","cg08055924"
"10977","cg08057190"
"10978","cg08057896"
"10979","cg08057899"
"10980","cg08060195"
"10981","cg08060254"
